"Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","TTL","AVG"
"Daniel Bellinger","TE","NYG","22%","28%","24%","32%","52%","57%","","","","","","","","","","","","","151","36%"
"Jeremy Ruckert","TE","NYJ","45%","36%","41%","40%","34%","39%","","","","","","","","","","","","","149","39%"
"Jamari Thrash","WR","CLE","28%","27%","18%","42%","40%","45%","","","","","","","","","","","","","146","34%"
"Brycen Tremayne","WR","CAR","30%","18%","28%","81%","24%","34%","","","","","","","","","","","","","146","35%"
"Kalif Raymond","WR","DET","66%","54%","49%","55%","3%","4%","","","","","","","","","","","","","146","39%"
"Jayden Higgins","WR","HOU","43%","43%","44%","44%","56%","bye","","","","","","","","","","","","","146","46%"
"CeeDee Lamb","WR","DAL","92%","92%","9%","0%","0%","0%","","","","","","","","","","","","","145","65%"
"Johnny Mundt","TE","JAC","50%","27%","26%","37%","34%","39%","","","","","","","","","","","","","145","35%"
"Nick Chubb","RB","HOU","51%","53%","52%","42%","34%","bye","","","","","","","","","","","","","145","46%"
"Darnell Mooney","WR","ATL","0%","86%","89%","45%","bye","0%","","","","","","","","","","","","","145","74%"
"Evan Engram","TE","DEN","34%","43%","0%","43%","41%","47%","","","","","","","","","","","","","144","41%"
"Jaylin Lane","WR","WAS","30%","52%","24%","44%","34%","42%","","","","","","","","","","","","","143","38%"
"David Montgomery","RB","DET","37%","39%","37%","33%","53%","31%","","","","","","","","","","","","","143","39%"
"Xavier Worthy","WR","KC","5%","0%","0%","59%","77%","73%","","","","","","","","","","","","","142","54%"
"TreVeyon Henderson","RB","NE","35%","32%","46%","31%","50%","30%","","","","","","","","","","","","","142","38%"
"Brock Purdy","QB","SF","100%","0%","0%","100%","0%","0%","","","","","","","","","","","","","142","100%"
"Tutu Atwell","WR","LAR","42%","43%","38%","28%","66%","0%","","","","","","","","","","","","","142","43%"
"Adam Thielen","WR","MIN","57%","81%","75%","16%","22%","bye","","","","","","","","","","","","","141","46%"
"Marquez Valdes-Scantling","WR","SF","36%","13%","26%","0%","53%","61%","","","","","","","","","","","","","141","38%"
"Luke Schoonmaker","TE","DAL","25%","29%","36%","28%","55%","36%","","","","","","","","","","","","","140","34%"
"Tyler Johnson","WR","NYJ","52%","96%","70%","0%","4%","19%","","","","","","","","","","","","","140","44%"
"Ray-Ray McCloud III","WR","ATL","72%","23%","70%","35%","bye","0%","","","","","","","","","","","","","139","51%"
"Hunter Long","TE","JAC","9%","1%","20%","32%","60%","80%","","","","","","","","","","","","","139","34%"
"Tre Harris","WR","LAC","8%","31%","29%","19%","37%","83%","","","","","","","","","","","","","138","34%"
"Grant Calcaterra","TE","PHI","59%","88%","19%","49%","11%","0%","","","","","","","","","","","","","138","45%"
"Mitchell Evans","TE","CAR","14%","7%","34%","54%","37%","58%","","","","","","","","","","","","","137","33%"
"Oronde Gadsden II","TE","LAC","0%","0%","26%","48%","54%","75%","","","","","","","","","","","","","136","49%"
"Jaylen Warren","RB","PIT","45%","58%","80%","0%","bye","53%","","","","","","","","","","","","","135","58%"
"KaVontae Turpin","WR","DAL","46%","16%","66%","61%","0%","0%","","","","","","","","","","","","","133","45%"
"Pat Freiermuth","TE","PIT","50%","50%","70%","28%","bye","36%","","","","","","","","","","","","","133","47%"
"Pat Bryant","WR","DEN","5%","24%","25%","33%","54%","58%","","","","","","","","","","","","","133","33%"
"Kenneth Gainwell","RB","PIT","54%","42%","26%","77%","bye","34%","","","","","","","","","","","","","131","46%"
"Ian Thomas","TE","LV","32%","10%","29%","56%","56%","30%","","","","","","","","","","","","","131","34%"
"DeMario Douglas","WR","NE","63%","25%","39%","16%","28%","25%","","","","","","","","","","","","","130","34%"
"Mike Gesicki","TE","CIN","31%","52%","30%","56%","50%","3%","","","","","","","","","","","","","129","37%"
"Ja'Tavion Sanders","TE","CAR","61%","66%","59%","0%","0%","0%","","","","","","","","","","","","","129","62%"
"Alec Ingold","RB","MIA","27%","35%","41%","53%","29%","39%","","","","","","","","","","","","","128","38%"
"Michael Mayer","TE","LV","63%","34%","8%","0%","0%","92%","","","","","","","","","","","","","125","48%"
"Eric Saubert","TE","SEA","17%","37%","46%","39%","28%","40%","","","","","","","","","","","","","124","35%"
"Van Jefferson","WR","TEN","12%","26%","34%","38%","18%","74%","","","","","","","","","","","","","124","33%"
"Trey Benson","RB","ARI","33%","44%","61%","55%","0%","0%","","","","","","","","","","","","","123","48%"
"Ryan Flournoy","WR","DAL","0%","12%","32%","23%","57%","69%","","","","","","","","","","","","","123","35%"
"Samaje Perine","RB","CIN","25%","29%","27%","31%","47%","46%","","","","","","","","","","","","","122","35%"
"Trent Sherfield Sr.","WR","DEN","34%","38%","42%","27%","22%","23%","","","","","","","","","","","","","122","30%"
"Jordan Addison","WR","MIN","0%","0%","0%","96%","75%","bye","","","","","","","","","","","","","122","87%"
"RJ Harvey","RB","DEN","29%","33%","29%","41%","20%","28%","","","","","","","","","","","","","121","30%"
"Jack Stoll","TE","NO","24%","25%","32%","36%","38%","21%","","","","","","","","","","","","","120","29%"
"Christian Kirk","WR","HOU","0%","0%","67%","61%","49%","bye","","","","","","","","","","","","","119","58%"
"Woody Marks","RB","HOU","11%","27%","48%","56%","39%","bye","","","","","","","","","","","","","117","37%"
"Greg Dortch","WR","ARI","15%","18%","24%","64%","7%","44%","","","","","","","","","","","","","116","29%"
"Cooper Rush","QB","BAL","0%","5%","0%","31%","100%","68%","","","","","","","","","","","","","116","50%"
"Marcus Mariota","QB","WAS","0%","0%","100%","100%","0%","0%","","","","","","","","","","","","","115","100%"
"Tyler Conklin","TE","LAC","43%","50%","26%","19%","30%","5%","","","","","","","","","","","","","114","28%"
"Drew Ogletree","TE","IND","37%","17%","33%","16%","45%","27%","","","","","","","","","","","","","114","29%"
